"ESTADO","NOMBRE","Latitud N","Longitud W","Altitud (m)","Instalación en sitio",""
"AGUASCALIENTES","CALVILLO","21°50'58''","102°42'44''","1618","15-Nov-04",""
"AGUASCALIENTES","PRESA 50 ANIV. ","22°11'21.5""","102°27'53.9""","2063.397","5-Dec-12",""
"AGUASCALIENTES","SIERRA FRIA","22°16'11.2""","102°36'31.6""","2976.307","8-Dec-12",""
"BAJA CALIFORNIA","BAHÍA DE LOS ANGELES","28°53'47""","113°33'37""","10","6-Apr-00",""
"BAJA CALIFORNIA","CATAVIÑA","29°43'38''","114°43'09''","514","10-Nov-04",""
"BAJA CALIFORNIA","CONSTITUCION DE 1857","32°02'31.8""","115°55'18.2""","1576.313","14-Dec-12",""
"BAJA CALIFORNIA","LA RUMOROSA","32°16'20''","116°12'20''","1262","6-Nov-04",""
"BAJA CALIFORNIA","MEXICALI","32°40'00""","115°27'28""","14","26-Mar-00",""
"BAJA CALIFORNIA","PLAYAS ROSARITO","32°22'39.8""","117°04'17.2""","36.9 m","19-May-15",""
"BAJA CALIFORNIA","PRESA ABELARDO L. RODRÍGUEZ (TIJUANA)","32°26'50""","116°54'30""","156","7-May-99",""
"BAJA CALIFORNIA","PRESA EMILIO LÓPEZ ZAMORA (ENSENADA)","31°53'29""","116°36'12""","32","2-Jul-99",""
"BAJA CALIFORNIA","SAN QUINTÍN","30°31'54""","115°50'15""","32","1-Apr-00",""
"BAJA CALIFORNIA","TECATE","32°34' 06.8","116°39'41.7""","583.7","20-May-15",""
"BAJA CALIFORNIA SUR","BAHIA DE LORETO","26°00'35.1""","111°21'14.1""","25.184","13-Dec-12",""
"BAJA CALIFORNIA SUR","CABO PULMO","23°26'42.9""","109°25'28.4""","25.978","19-Dec-12",""
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","22°52'52""","109°55'35""","224","26-Apr-00",""
"BAJA CALIFORNIA SUR","GUSTAVO DÍAZ ORDAZ","27°38´36.6""","113°27´28.1""","83.5 m","18-May-15",""
"BAJA CALIFORNIA SUR","SAN JUANICO","26°15´27.1""","112°28'42.9""","36","28-Dec-07",""
"BAJA CALIFORNIA SUR","SIERRA LA LAGUNA","23°33'19.9""","109°59'55.3""","1949.077","24-Dec-12",""
"BAJA CALIFORNIA SUR","TODOS SANTOS","23°26´47.6""","110°12´56.1""","48","29-Apr-15",""
"CAMPECHE","CALAKMUL I","18°21'54""","089°53'33""","28","16-Dec-02",""
"CAMPECHE","CALAKMUL II","18°05'38.6""","089°27'43.2""","256.241","30-Nov-12",""
"CAMPECHE","DZILBACHEN","19°27'44.9''","089°43´26.3""","169.8 m","13-May-15",""
"CAMPECHE","ESCARCEGA","18°36'30''","090°45'14''","60","17-Nov-04",""
